Timestamp,Spot,Strike,NetGEX,Volume
06:24:55,6556.37,6605.0,-14.3991,170.0
06:24:55,6556.37,6610.0,-29.1405,250.0
06:24:55,6556.37,6615.0,2.4522,121.0
06:24:55,6556.37,6620.0,-84.6199,206.0
06:24:55,6556.37,6625.0,20.6653,340.0
06:24:55,6556.37,6630.0,-54.6357,195.0
06:34:11,6556.37,6485.0,-29.7521,397.0
06:34:11,6556.37,6490.0,-102.7425,515.0
06:34:11,6556.37,6495.0,-79.5204,78.0
06:34:11,6556.37,6500.0,-184.7503,724.0
06:34:11,6556.37,6505.0,-55.4577,523.0
06:34:11,6556.37,6510.0,-58.8201,154.0
06:34:11,6556.37,6515.0,-42.9993,320.0
06:34:11,6556.37,6520.0,-74.7409,274.0
06:34:11,6556.37,6525.0,-98.3926,102.0
06:34:11,6556.37,6530.0,-50.8709,274.0
06:34:11,6556.37,6535.0,-39.6147,217.0
06:34:11,6556.37,6540.0,-57.3186,272.0
06:34:11,6556.37,6545.0,-22.3564,99.0
06:34:11,6556.37,6550.0,-193.8043,554.0
06:34:11,6556.37,6555.0,-15.8585,183.0
06:34:11,6556.37,6560.0,-1.8411,183.0
06:34:11,6556.37,6565.0,-11.505,187.0
06:34:11,6556.37,6570.0,-67.8103,106.0
06:34:11,6556.37,6575.0,-518.0598,226.0
06:34:11,6556.37,6580.0,-734.9912,280.0
06:34:11,6556.37,6585.0,-488.4426,127.0
06:34:11,6556.37,6590.0,-47.6119,185.0
06:34:11,6556.37,6595.0,-5.1365,153.0
06:34:11,6556.37,6600.0,-179.7984,660.0
06:34:11,6556.37,6605.0,-14.3642,171.0
06:34:11,6556.37,6610.0,-29.1029,250.0
06:34:11,6556.37,6615.0,0.2289,127.0
06:34:11,6556.37,6620.0,-84.586,207.0
06:34:11,6556.37,6625.0,20.6627,343.0
06:34:11,6556.37,6630.0,-54.7102,197.0
06:41:30,6556.37,6485.0,-29.1478,398.0
06:41:30,6556.37,6490.0,-100.6832,515.0
06:41:30,6556.37,6495.0,-77.1649,78.0
06:41:30,6556.37,6500.0,-181.2029,729.0
06:41:30,6556.37,6505.0,-55.4577,525.0
06:41:30,6556.37,6510.0,-56.795,169.0
06:41:30,6556.37,6515.0,-42.0627,321.0
06:41:30,6556.37,6520.0,-73.1796,289.0
06:41:30,6556.37,6525.0,-95.4464,103.0
06:41:30,6556.37,6530.0,-49.7199,278.0
06:41:30,6556.37,6535.0,-38.6978,218.0
06:41:30,6556.37,6540.0,-56.5969,279.0
06:41:30,6556.37,6545.0,-22.1075,100.0
06:41:30,6556.37,6550.0,-191.2571,555.0
06:41:30,6556.37,6555.0,-15.6078,184.0
06:41:30,6556.37,6560.0,-1.8139,187.0
06:41:30,6556.37,6565.0,-11.3466,187.0
06:41:30,6556.37,6570.0,-66.8149,107.0
06:41:30,6556.37,6575.0,-513.2185,237.0
06:41:30,6556.37,6580.0,-734.1042,288.0
06:41:30,6556.37,6585.0,-486.7954,127.0
06:41:30,6556.37,6590.0,-47.7629,187.0
06:41:30,6556.37,6595.0,-5.1457,156.0
06:41:30,6556.37,6600.0,-179.2614,669.0
06:41:30,6556.37,6605.0,-14.2562,172.0
06:41:30,6556.37,6610.0,-29.6186,250.0
06:41:30,6556.37,6615.0,0.2303,139.0
06:41:30,6556.37,6620.0,-85.1974,220.0
06:41:30,6556.37,6625.0,20.8696,345.0
06:41:30,6556.37,6630.0,-55.2,201.0
07:31:51,6556.37,6485.0,-39.391,442.0
07:31:51,6556.37,6490.0,-134.3458,599.0
07:31:51,6556.37,6495.0,-102.3054,120.0
07:31:51,6556.37,6500.0,-235.8319,850.0
07:31:51,6556.37,6505.0,-69.9378,739.0
07:31:51,6556.37,6510.0,-71.7926,210.0
07:31:51,6556.37,6515.0,-52.2457,360.0
07:31:51,6556.37,6520.0,-73.1796,339.0
07:31:51,6556.37,6525.0,-95.4464,129.0
07:31:51,6556.37,6530.0,-49.7199,318.0
07:31:51,6556.37,6535.0,-38.6978,247.0
07:31:51,6556.37,6540.0,-56.5969,344.0
07:31:51,6556.37,6545.0,-22.1075,265.0
07:31:51,6556.37,6550.0,-212.6783,664.0
07:31:51,6556.37,6555.0,-17.1941,223.0
07:31:51,6556.37,6560.0,-1.9654,212.0
07:31:51,6556.37,6565.0,-10.3681,230.0
07:31:51,6556.37,6570.0,-66.8149,127.0
07:31:51,6556.37,6575.0,-513.2185,274.0
07:31:51,6556.37,6580.0,-734.1042,364.0
07:31:51,6556.37,6585.0,-486.7954,227.0
07:31:51,6556.37,6590.0,-47.7629,228.0
07:31:51,6556.37,6595.0,-3.8591,177.0
07:31:51,6556.37,6600.0,-171.8221,729.0
07:31:51,6556.37,6605.0,-13.5531,179.0
07:31:51,6556.37,6610.0,-27.0146,266.0
07:31:51,6556.37,6615.0,0.2091,156.0
07:31:51,6556.37,6620.0,-76.2511,258.0
07:31:51,6556.37,6625.0,18.428,359.0
07:31:51,6556.37,6630.0,-48.1545,224.0
08:05:56,6556.37,6485.0,-36.6422,492.0
08:05:56,6556.37,6490.0,-125.533,633.0
08:05:56,6556.37,6495.0,-101.2079,136.0
